"","household_key","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS","WEEK","X","BASKET_ID","PRODUCT_ID","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DEPARTMENT","COMMODITY_DESC","SUB_COMMODITY_DESC"
"1",1,0,0,0,0,0,0,28,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"2",1,0,0,0,0,0,0,27,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"3",1,0,0,0,0,0,0,26,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"4",1,0,0,0,0,0,0,25,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"5",1,0,0,0,0,0,0,24,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"6",1,0,0,0,0,0,0,23,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"7",1,0,0,0,0,0,0,22,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"8",1,0,0,0,0,0,0,21,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"9",1,0,0,0,0,0,0,20,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"10",1,0,0,0,0,0,0,19,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"11",1,0,0,0,0,0,0,18,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"12",1,0,0,0,0,0,0,17,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"13",1,0,0,0,0,0,0,16,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"14",1,0,0,0,0,0,0,15,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"15",1,0,0,0,0,0,0,14,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"16",1,0,0,0,0,0,0,13,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"17",1,0,0,0,0,0,0,12,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"18",1,0,0,0,0,0,0,11,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"19",1,0,0,0,0,0,0,10,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"20",1,0,0,0,0,0,0,9,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"21",1,0,0,0,0,0,0,8,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"22",1,0,0,0,0,0,0,7,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"23",1,0,0,0,0,0,0,6,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"24",1,0,0,0,0,0,0,5,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"25",1,0,0,0,0,0,0,4,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"26",1,0,0,0,0,0,0,3,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"27",1,0,0,0,0,0,0,2,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"28",1,0,0,0,0,0,0,1,768,34642001059,5577022,"65+","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE 100% PURE JUICE - O"
"29",2,0,0,0,0,0,0,28,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"30",2,0,0,0,0,0,0,27,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"31",2,0,0,0,0,0,0,26,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"32",2,0,0,0,0,0,0,25,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"33",2,0,0,0,0,0,0,24,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"34",2,220,624.65,549.39,-75.26,0,1,23,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
"35",2,0,0,0,0,0,0,22,57820,36029272239,825343,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","CHOICE BEEF"
